,N,Media,Mediana,Moda,Desv. Est.
Creo que la tecnología puede ayudar a mi comunidad(Loja/Ecuador),90,4.03,4.0,4.0,0.91
Puedo trabajar en equipo para desarrollar un proyecto,90,3.74,4.0,4.0,1.02
Me siento capaz de aprender programación o herramientas tecnológicas si tengo buena guía,91,3.62,4.0,4,1.14
"Siento curiosidad por cómo funcionan las cosas (apps, videojuegos, internet, robots, etc.)",91,3.53,4.0,4,1.17
Me gustaría participar en proyectos donde use tecnología para resolver problemas reales,91,3.47,4.0,4,1.01
Me interesa aprender sobre tecnología,90,3.42,3.0,3.0,0.99
"Si algo no me sale en tecnología, lo intento de nuevo hasta entenderlo",91,3.4,3.0,4,1.09
Me siento cómodo/a haciendo preguntas cuando no entiendo,91,3.19,3.0,3,1.01
"Me veo estudiando una carrera relacionada con STEM(Ciencia, Tecnología, Ingeniería o Matemáticas)",91,2.93,3.0,2,1.4
